@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
147240,249,1400,255.0.0,65794,1007360,6053971,10006742,16185339,67066,6605,8799,0,0,0,0,Lisa
87556,250,1176,255.0.0,65794,261888,1262848,6778226,15068666,38026,4977,6951,0,0,0,0,Lisa
105609,250,1331,255.0.0,65794,196608,1196539,6579571,13028840,60045,1041,2822,0,0,0,0,Lisa
30000,254,670,255.0.0,131587,850944,1394688,7501432,13559288,13428,926,3144,0,0,0,0,Lisa
120106,248,1156,0.156.222,131587,588283,1197312,13489128,16606501,60806,1123,2161,0,0,18926,8,Maggie
95400,251,1034,0.189.0,65794,1197052,8888764,11495434,15385317,49066,2034,0,0,0,0,0,Maggie
63973,252,852,0.189.0,131587,1197307,8163511,15592686,16168575,27970,3478,0,37,8088,0,0,Maggie
82500,248,827,0.156.222,65794,1197055,4246488,15525603,16606245,36582,2316,1118,0,0,12229,2,Maggie
212176,247,1452,0.156.222,65794,1134079,10264751,16119287,16671780,92836,7574,2951,0,0,44592,0,Maggie
209100,248,2174,0.156.222,131330,1133822,9342356,16053237,16671779,135145,8852,963,0,0,29875,0,Maggie
244620,247,2640,0.156.222,65794,1133568,10066345,16316409,16737315,140239,9547,1433,0,0,49981,0,Maggie
199152,254,1261,0.156.222,197123,524288,1262848,15591660,16610363,99976,6355,1389,0,0,28841,0,Maggie
90720,252,878,0.189.0,65794,211712,10540506,10587269,11227699,50743,80,0,0,0,0,0,Maggie
72025,244,933,0.156.222,65794,1197312,2993850,15821858,16514045,36668,14359,0,0,94,6987,0,Maggie
155844,250,1338,0.156.222,65794,1199614,11051706,16513531,16671522,68661,15729,0,0,0,36456,0,Maggie
37720,240,1419,0.156.222,131587,1328639,6131351,12895950,16737830,28669,35,241,0,0,1685,0,Maggie
101062,248,781,0.8.132,65794,1265407,7834280,15921387,16774780,51406,3577,1082,4,47,0,0,Marge
142974,247,1215,0.189.0,66050,734461,5856096,15592417,16499009,51966,5260,0,0,17,0,0,Marge
267300,253,3225,0.8.132,65794,6968641,7297258,7927790,16053200,130581,10068,314,0,0,0,0,Marge
350000,245,1990,0.8.132,65794,604879,5796590,15593459,16775037,227818,5995,973,0,407,0,0,Marge
114720,252,1136,0.66.132,65794,542461,5389194,14279665,16752446,76904,2335,0,0,73,0,0,Marge
212394,251,1317,0.8.132,65794,673489,6634734,12896722,16775037,139907,454,932,0,62,0,0,Marge
68400,255,2648,0.189.0,131587,1759457,5328288,13625585,16569453,40580,1365,0,0,96,0,0,Marge
69580,249,940,0.8.132,131587,4538101,7121601,14738918,16709245,34409,1189,407,0,59,0,0,Marge
67200,248,707,0.8.132,65794,219100,8096153,15330796,16775549,33899,2259,594,0,74,0,1,Marge
70597,252,55,247.99.16,67595,3295479,6059155,14008724,16382203,39465,1121,173,351,0,0,777,Marge
