@relation Simpsons-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R2-6

@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}

@data
247.99.16,81785,3056,0,12017,0,0,0,Bart
0.189.0,47921,3623,0,0,0,3941,0,Bart
247.99.16,20081,1085,63,1451,0,0,3225,Bart
247.99.16,16576,6026,104,4717,0,0,0,Bart
255.0.0,34717,0,314,0,0,0,0,Bart
255.0.0,40273,1959,3621,3225,0,0,0,Bart
247.99.16,22434,1173,0,3606,1,0,217,Bart
0.189.0,79437,270,0,0,0,0,0,Bart
247.99.16,66009,8594,153,3538,216,0,1309,Homer
189.173.107,116616,4992,0,0,0,0,9808,Homer
189.173.107,128743,6547,0,0,0,0,7435,Homer
0.107.173,65284,2083,0,0,34,0,963,Homer
255.0.0,65486,4651,82,0,0,0,27,Homer
0.107.173,110614,14373,0,0,200,0,3632,Homer
0.107.173,122077,4701,0,0,71,0,1603,Homer
189.173.107,188867,7499,3,0,0,0,10027,Homer
0.107.173,211750,10034,179,0,145,0,2236,Homer
0.107.173,85365,8936,11,1258,81,0,1339,Homer
0.107.173,122415,10848,0,4101,113,0,2200,Homer
0.107.173,73320,4701,33,0,125,0,1641,Homer
189.173.107,66011,6888,911,0,34,0,3048,Homer
82.140.24,158771,16179,249,0,0,0,1297,Homer
0.156.222,93341,11836,436,0,10,27891,2599,Homer
189.173.107,170045,10513,0,0,0,0,3531,Homer
0.107.173,58712,6992,0,0,84,0,1652,Homer
0.107.173,117754,9416,0,4681,44,0,1865,Homer
0.107.173,61252,5524,0,0,102,0,1316,Homer
0.107.173,68898,7804,17,0,156,360,1753,Homer
0.107.173,63561,5167,0,0,53,0,2746,Homer
0.107.173,102664,5427,0,0,47,0,1884,Homer
0.107.173,137426,6712,0,0,43,0,552,Homer
0.107.173,107909,11233,102,2247,132,0,1518,Homer
189.173.107,152658,16170,346,0,0,0,5711,Homer
0.156.222,97977,5444,0,0,135,17403,0,Homer
0.107.173,124526,9610,130,0,48,0,3056,Homer
189.173.107,61177,5053,523,0,0,0,1388,Homer
0.107.173,63583,4497,57,0,228,0,0,Homer
189.173.107,86065,6194,0,0,0,0,11251,Homer
255.0.0,86475,2444,83,0,0,0,836,Homer
0.189.0,21727,5921,0,0,0,0,0,Homer
0.189.0,62368,480,3700,0,0,0,0,Homer
0.189.0,28959,1860,0,0,0,0,333,Homer
0.189.0,52267,2238,0,0,0,0,17,Homer
0.189.0,30921,132,0,0,0,0,0,Homer
0.189.0,49236,595,0,0,0,0,1442,Homer
0.189.0,20145,23,0,0,0,0,0,Homer
0.189.0,54405,282,0,0,0,0,572,Homer
255.0.0,52159,1783,905,415,0,0,747,Homer
0.189.0,33216,3564,0,0,0,0,473,Homer
0.189.0,42267,1773,0,0,0,0,615,Homer
0.189.0,69494,2883,0,0,0,0,933,Homer
0.189.0,31122,48,0,0,0,0,3621,Homer
0.189.0,43378,39,0,0,0,0,3395,Homer
0.189.0,28189,937,0,0,327,0,643,Homer
0.189.0,26335,315,0,0,0,0,1051,Homer
0.189.0,34773,437,0,0,0,0,2793,Homer
0.189.0,91721,10440,0,0,0,0,25,Homer
0.189.0,34525,2011,0,0,0,0,427,Homer
255.0.0,60810,2775,139,0,0,0,2610,Homer
0.189.0,44081,25,0,0,0,0,701,Homer
0.189.0,59990,205,0,0,2724,0,0,Homer
0.189.0,58586,4260,0,0,0,0,121,Homer
0.107.173,91641,5816,144,0,0,0,3000,Homer
0.189.0,77485,3633,0,0,0,0,321,Homer
0.189.0,32757,264,0,0,0,0,6056,Homer
0.189.0,48916,369,0,0,0,0,7215,Homer
0.107.173,54671,282,0,0,0,0,64,Homer
0.107.173,91110,4341,0,0,79,0,2032,Homer
255.0.0,99933,651,236,0,0,0,6149,Homer
255.0.0,22952,598,1095,0,0,0,0,Lisa
255.0.0,9341,18,1752,0,0,0,0,Lisa
255.0.0,25591,295,1766,0,0,0,0,Lisa
255.0.0,27527,0,1493,0,0,0,0,Lisa
255.0.0,16084,429,2638,0,0,0,0,Lisa
255.0.0,21090,28,3032,0,0,0,0,Lisa
255.0.0,25019,61,2514,0,0,0,0,Lisa
255.0.0,128245,12713,8484,5300,0,4275,0,Lisa
255.0.0,15670,194,2154,0,0,0,0,Lisa
255.0.0,32888,29,2427,0,17,0,0,Lisa
255.0.0,19579,351,2443,0,0,0,0,Lisa
255.0.0,31543,114,826,0,0,0,0,Lisa
255.0.0,30789,935,662,0,0,0,0,Lisa
255.0.0,31857,0,1040,764,0,0,130,Lisa
255.0.0,11592,72,2536,0,0,0,0,Lisa
255.0.0,23326,116,681,0,0,0,0,Lisa
255.0.0,21746,48,2881,0,0,0,0,Lisa
255.0.0,50693,64,2734,3,0,678,25,Lisa
255.0.0,31519,0,1645,704,0,0,120,Lisa
255.0.0,9150,121,1243,0,0,0,0,Lisa
255.0.0,23910,0,3584,0,0,0,0,Lisa
255.0.0,17676,17,3548,0,0,0,0,Lisa
255.0.0,23062,66,2150,0,0,0,0,Lisa
255.0.0,8130,0,1152,0,0,0,0,Lisa
0.189.0,14721,720,0,0,0,0,0,Lisa
255.0.0,13777,179,135,0,0,0,0,Lisa
255.0.0,18875,643,6577,0,0,0,0,Lisa
0.189.0,52398,633,0,0,0,0,0,Lisa
0.189.0,31730,1926,0,0,0,0,0,Lisa
255.0.0,31276,812,2468,0,0,0,0,Lisa
255.0.0,34768,3276,2378,0,0,0,23,Lisa
255.0.0,37034,1577,6977,0,0,0,0,Lisa
255.0.0,16664,106,3866,0,0,0,0,Lisa
8.165.255,16872,2333,341,0,0,10271,0,Maggie
0.156.222,32554,2269,648,0,0,11319,0,Maggie
0.156.222,22366,0,95,0,0,2750,0,Maggie
0.156.222,18370,0,172,0,0,4893,0,Maggie
0.156.222,14335,41,152,0,0,2263,0,Maggie
0.156.222,6049,54,322,0,0,2800,0,Maggie
255.0.0,9357,10,1800,0,0,1437,0,Maggie
0.156.222,10313,0,96,0,0,237,49,Maggie
0.156.222,20168,805,373,0,0,5909,0,Maggie
255.0.0,22677,212,3672,0,0,2675,0,Maggie
247.99.16,44831,5574,717,15045,0,733,2865,Maggie
0.156.222,33977,0,206,0,0,4455,0,Maggie
247.99.16,26403,0,179,3797,0,3152,0,Maggie
0.156.222,17135,0,32,0,0,1323,0,Maggie
0.156.222,22974,0,1990,0,0,4743,0,Maggie
0.156.222,18738,698,476,0,0,4163,0,Maggie
0.156.222,6226,0,61,0,0,1849,0,Maggie
0.156.222,4370,0,33,0,0,1693,0,Maggie
0.156.222,5079,400,170,0,0,2080,24,Maggie
0.156.222,13298,45,125,0,0,4402,8,Maggie
0.189.0,25725,0,0,0,0,0,0,Maggie
0.189.0,9073,233,0,0,0,0,0,Maggie
0.189.0,28544,2663,0,0,0,0,9,Maggie
255.0.0,29833,1760,989,0,0,0,0,Maggie
0.189.0,17631,3285,0,0,0,0,0,Maggie
0.189.0,5119,3,0,0,0,0,0,Maggie
0.156.222,74201,183,705,0,0,15805,0,Maggie
0.156.222,26442,176,463,0,0,12571,0,Maggie
0.156.222,19393,208,0,0,0,9915,3,Maggie
0.156.222,46362,2149,905,0,0,9403,0,Maggie
255.0.0,11639,135,147,0,0,0,0,Marge
0.66.132,11230,163,68,0,3611,0,0,Marge
0.66.132,21882,0,905,0,2447,0,0,Marge
0.66.132,16553,0,411,0,12553,0,0,Marge
255.0.0,8777,0,322,0,0,0,0,Marge
0.66.132,26065,829,117,0,2749,0,0,Marge
255.0.0,50603,133,3857,0,3039,0,0,Marge
0.66.132,40434,250,65,1,4354,0,0,Marge
0.66.132,23359,305,169,0,2928,0,51,Marge
0.66.132,5861,410,81,0,6580,0,0,Marge
0.66.132,15275,734,144,0,4381,0,0,Marge
0.66.132,23408,3,99,0,3076,0,0,Marge
0.66.132,25329,629,236,0,4052,0,0,Marge
0.66.132,11438,17,106,0,4045,0,0,Marge
0.66.132,20027,1332,427,0,6208,0,0,Marge
0.66.132,14508,0,0,1600,5578,0,0,Marge
0.66.132,17645,0,334,20,2875,0,0,Marge
0.66.132,46632,104,0,0,2922,0,0,Marge
0.189.0,35926,501,0,0,5540,0,0,Marge
0.189.0,26621,323,0,0,0,0,1,Marge
0.189.0,30482,590,0,0,0,0,8,Marge
255.0.0,80735,1692,636,0,0,0,849,Marge
255.0.0,50691,939,155,0,0,0,0,Marge
255.0.0,23795,1836,1929,0,0,0,3,Marge
