@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
155775,251,2837,247.99.16,675800,8950176,15133162,66051,1384500,Bart
172000,241,1346,247.99.16,477144,7384551,7499372,65794,15199223,Bart
132000,251,3848,0.8.132,1262848,10988215,65794,5723737,15658732,Bart
112880,253,6613,0.8.132,15791868,8565215,65795,1270011,5264217,Bart
99360,253,2119,0.8.132,263174,16248817,11511981,15655908,736512,Bart
186162,254,3223,0.8.132,11373125,1147090,65794,9554394,16317694,Bart
119040,255,1725,0.8.132,6459858,16645888,12568541,730044,65794,Bart
165501,252,3158,247.99.16,1008378,4621693,16597758,15724213,65794,Bart
64539,254,1025,247.99.16,65794,11582144,6517904,14936554,148446,Bart
74538,252,852,247.99.16,1131520,632561,15331055,65794,8556194,Bart
79572,251,1370,247.99.16,1154029,13884898,131587,16777054,1131520,Bart
62721,247,678,247.99.16,131587,11844810,15922420,6978211,1067519,Bart
86670,249,808,247.99.16,131843,1918717,8097220,15199473,12576128,Bart
153230,256,12867,0.8.132,6841205,14739442,13219969,2864630,197124,Homer
143028,254,2427,0.8.132,15529721,10864087,131587,1196538,5071474,Homer
127100,255,2405,0.107.173,263176,1262070,15256760,3473151,6780539,Homer
165960,252,838,0.8.132,134777,5134771,11843555,65794,15659513,Homer
215250,252,1831,255.0.0,65794,786176,11188405,14869981,1656816,Homer
150900,254,1743,0.8.132,65794,11425077,6582413,211712,6944481,Homer
140700,255,1962,0.8.132,65794,11126509,6319759,15593460,146176,Homer
87542,247,0,0.8.132,267264,1257806,3932123,6920845,16503465,Homer
77165,251,1228,189.173.107,11448766,65794,16382715,4806544,1655807,Homer
89979,236,822,189.173.107,11054785,4881147,4804727,65794,16119803,Homer
195349,256,1293,189.173.107,6307094,2249956,15133937,65795,14055920,Homer
304440,250,3851,189.173.107,196867,4397131,13211013,1197055,15330292,Homer
252720,247,2665,189.173.107,65794,1131520,10923459,4543634,16053752,Homer
298350,250,3579,189.173.107,16382459,1068032,131586,4609170,11121597,Homer
141504,251,2279,0.107.173,1197311,15790837,5858959,16684373,65794,Homer
201240,239,2465,189.173.107,16448252,1131520,4674959,65794,10791620,Homer
333000,252,3231,189.173.107,10057687,1290222,65794,16316667,1393911,Homer
253800,245,3796,189.173.107,65794,10923976,1131776,16514045,4872077,Homer
251640,252,2636,0.107.173,65794,16750165,5135758,1197312,16054008,Homer
179000,252,2142,0.8.132,277504,9343647,3932123,65794,16120316,Homer
215787,249,2383,189.173.107,65794,9941211,16053752,2252795,3885439,Homer
120900,247,1255,0.8.132,3495867,8355712,11584456,16316922,65794,Homer
145624,250,1775,0.107.173,16748366,8235263,11778483,15988731,131845,Homer
107712,254,2335,0.8.132,394501,4870752,15002086,11969130,1723136,Homer
170400,251,1960,0.8.132,394246,8950703,15857402,2838449,11985134,Homer
55678,245,674,0.8.132,1861081,14081507,9414067,65794,8354637,Lisa
308220,244,2734,255.0.0,15790838,1131520,65794,8424888,131072,Lisa
260762,243,3115,255.0.0,196608,15462646,1131520,65794,8557242,Lisa
193752,246,1829,255.0.0,10008831,197891,8555152,14212065,886015,Lisa
161000,249,1511,255.0.0,15396082,65794,1131520,392959,4348560,Lisa
123120,248,1317,255.0.0,756480,9751529,7042713,16448509,65794,Lisa
124800,243,1187,255.0.0,8953533,65794,196608,1131520,15923195,Lisa
207360,249,1341,255.0.0,16316926,131072,65794,10795756,1131520,Lisa
215460,245,3747,0.8.132,10794436,1262848,16054008,7041635,131847,Lisa
147240,249,1400,255.0.0,65794,1262848,6317144,196608,15330548,Lisa
87556,250,1176,255.0.0,261888,15068666,1262848,65794,6778226,Lisa
105609,250,1331,255.0.0,8622017,196608,1131004,65794,14738673,Lisa
30000,254,670,255.0.0,850944,131587,7501432,13559288,1394688,Lisa
120106,248,1156,0.156.222,16737316,4739144,13556203,1200640,65794,Maggie
95400,251,1034,0.8.132,11299345,1262843,16210917,13555934,65794,Maggie
63973,252,852,0.8.132,1262843,9346748,16168574,131587,15790064,Maggie
82500,248,827,0.156.222,4246488,1197055,65794,15525603,16606245,Maggie
212176,247,1452,0.156.222,65794,16671780,16053493,10001838,1134079,Maggie
209100,248,2174,0.156.222,16671779,1133822,131330,16053237,9211542,Maggie
244620,247,2640,0.156.222,65794,16737315,16382202,1133568,10526895,Maggie
199152,254,1261,0.156.222,65794,15591916,5981753,1199360,16741434,Maggie
90720,252,878,0.8.132,80384,5666535,65794,11162678,10867408,Maggie
72025,244,933,0.156.222,15887136,9743028,65794,815079,16645631,Maggie
155844,250,1338,0.156.222,16671522,65794,11052220,1199614,16513531,Maggie
37720,240,1419,0.156.222,12567755,16737830,65794,1398271,6447972,Maggie
101062,248,781,0.8.132,1265406,16774780,8753574,15987180,65794,Marge
142974,247,1215,0.8.132,66050,5856096,16499009,15592417,734461,Marge
267300,253,3225,0.8.132,1262848,16053200,7822053,7927790,197123,Marge
350000,245,1990,0.8.132,3095771,4185335,15593202,65794,16775037,Marge
114720,252,1136,0.66.132,3357111,7055319,65794,16752446,15593975,Marge
212394,251,1317,0.8.132,5811912,13619672,65794,4537316,16775037,Marge
68400,255,2648,0.8.132,16569453,5328288,13625585,1759457,131587,Marge
69580,249,940,0.8.132,1111286,4604146,131587,16775037,13817819,Marge
67200,248,707,0.8.132,65794,15330796,219100,8096153,16775549,Marge
70597,252,55,247.99.16,3359735,67595,16382203,5733787,14074260,Marge
