@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
252720,247,2665,189.173.107,65794,1131520,4543634,10923459,16053752,Homer
298350,250,3579,189.173.107,65794,1789416,4602157,9147559,16119544,Homer
141504,251,2279,0.107.173,65794,1197311,6122130,15922422,16684373,Homer
201240,239,2465,189.173.107,65794,1131520,4740752,11186375,16448508,Homer
333000,252,3231,189.173.107,65794,1132031,8084941,12566474,16579581,Homer
253800,245,3796,189.173.107,65794,1131776,4276803,5727646,16053752,Homer
251640,252,2636,0.107.173,65794,1197312,5135758,16054008,16750165,Homer
179000,252,2142,0.8.132,65794,277504,3932123,9146012,16120315,Homer
215787,249,2383,189.173.107,65794,2252795,3885439,9941211,16053752,Homer
120900,247,1255,0.8.132,65794,277503,7830404,11518408,16316922,Homer
145624,250,1775,0.107.173,131845,8167914,13423568,16737316,16749909,Homer
107712,254,2335,0.8.132,526087,1722872,11705959,12962504,16054258,Homer
170400,251,1960,0.8.132,393989,2707382,6316400,10602975,15397367,Homer
55678,245,674,0.8.132,65794,1861081,8354637,9414067,14081507,Lisa
308220,244,2734,255.0.0,65794,879872,7043500,12175065,16382716,Lisa
260762,243,3115,255.0.0,65794,196608,1131520,8557242,15462646,Lisa
193752,246,1829,255.0.0,197891,1262846,8895744,9345188,13161969,Lisa
161000,249,1511,255.0.0,65794,392959,1131520,4348560,15396082,Lisa
123120,248,1317,255.0.0,65794,262144,1131520,8623553,16054523,Lisa
124800,243,1187,255.0.0,65794,196608,1131520,8953533,15923195,Lisa
207360,249,1341,255.0.0,65794,131072,1131520,7766454,11913457,Lisa
215460,245,3747,0.8.132,131588,1525481,8223317,8755914,15002338,Lisa
147240,249,1400,255.0.0,65794,196608,1262848,6317144,15330548,Lisa
87556,250,1176,255.0.0,131587,261888,1197056,9084625,15791869,Lisa
105609,250,1331,255.0.0,65794,196608,1131004,8490433,14672880,Lisa
30000,254,670,255.0.0,131844,851200,1263104,8362697,14348282,Lisa
120106,248,1156,0.156.222,131587,1197312,8579579,11114899,16737315,Maggie
95400,251,1034,0.8.132,65794,1197052,8954556,11495434,15385317,Maggie
63973,252,852,0.8.132,131587,1262843,9346748,15790064,16168574,Maggie
82500,248,827,0.156.222,65794,1197055,4246488,15525603,16606245,Maggie
212176,247,1452,0.156.222,65794,1134079,10001838,16053493,16671780,Maggie
209100,248,2174,0.156.222,131330,1133822,9342356,16053237,16671779,Maggie
244620,247,2640,0.156.222,65794,1133568,10526895,16382202,16737315,Maggie
199152,254,1261,0.156.222,65794,1199360,5981753,15591916,16741434,Maggie
90720,252,878,0.8.132,65794,146176,5037278,11162678,12960972,Maggie
72025,244,933,0.156.222,65794,815079,9677750,15887137,16645887,Maggie
155844,250,1338,0.156.222,65794,1196800,4303064,16250359,16671523,Maggie
37720,240,1419,0.156.222,65794,1398271,6447972,12567755,16737830,Maggie
101062,248,781,0.8.132,65794,1265406,8753574,15987180,16774780,Marge
142974,247,1215,0.8.132,66050,734461,5856096,15592417,16499009,Marge
267300,253,3225,0.8.132,65794,6968641,7297258,7927790,16053200,Marge
350000,245,1990,0.8.132,65794,3095771,4185335,15593202,16775037,Marge
114720,252,1136,0.66.132,65794,542461,5389194,14279665,16752446,Marge
212394,251,1317,0.8.132,65794,4537316,5811912,13619672,16775037,Marge
68400,255,2648,0.8.132,131587,1759457,5328288,13625585,16569453,Marge
69580,249,940,0.8.132,131587,4538101,7318465,14804711,16709245,Marge
67200,248,707,0.8.132,65794,219100,9082783,15462127,16775549,Marge
70597,252,55,247.99.16,67596,1359854,3687912,13680276,16382203,Marge
