@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
65192,248,1940,247.99.16,131587,1612022,13027727,14476524,16598783,Bart
122464,246,1256,247.99.16,65795,1204730,6513254,15044077,16645446,Bart
61776,249,1818,247.99.16,131587,1460216,8304580,15987620,16400892,Bart
86664,250,1317,247.99.16,65794,1336567,12504794,16598270,16711298,Bart
40500,251,685,0.8.132,131587,417013,7902132,16711268,16711423,Bart
270720,244,3554,247.99.16,65794,1006843,6579045,8697044,16578484,Bart
64524,252,763,247.99.16,65795,1007356,7837406,15059120,15330038,Bart
62320,255,1302,247.99.16,65794,1141497,5858134,14410218,16776772,Bart
93225,250,1619,247.99.16,460037,1122389,1135099,8621732,14080990,Bart
136708,255,1391,247.99.16,65794,1008123,8426410,15528948,16775294,Bart
89768,252,1278,0.156.222,65794,1394431,14970416,15261670,16728832,Bart
40424,247,419,247.99.16,65794,1134590,3691655,9608889,15196643,Bart
44173,248,721,247.99.16,131587,1007355,7244976,13486298,16580095,Bart
57318,251,1397,255.0.0,65794,1197056,3748403,6465475,12962509,Bart
74240,251,1381,255.0.0,131587,327680,1333499,13489366,16711264,Bart
43274,249,898,247.99.16,65794,1204219,6318464,14278379,16711263,Bart
138000,255,1144,0.8.132,65794,602039,2405343,4664616,12504028,Bart
136512,255,0,247.99.16,197636,1660407,9677508,15725043,16750166,Homer
198268,134,2363,189.173.107,65794,1131520,4609167,10267098,16185341,Homer
178850,132,2521,189.173.107,65794,1131520,4674958,10989776,16448510,Homer
88725,178,1209,0.107.173,65794,1394432,5528438,14935528,16749909,Homer
169161,235,1911,255.0.0,393730,999933,6003301,10992331,16054264,Homer
196544,205,2605,0.107.173,65794,2030284,2706905,14476002,16553559,Homer
171925,212,2319,0.107.173,131587,2250482,13752282,16421974,16579838,Homer
261488,103,3637,189.173.107,65794,1197312,4284548,11188435,16448510,Homer
300465,204,2657,0.107.173,65794,786432,8744105,14605785,16645631,Homer
211280,228,1623,0.107.173,65794,1461749,9811712,15593970,16160088,Homer
215852,215,2654,0.107.173,65794,1396473,15593716,16313478,16421974,Homer
121000,180,1740,0.107.173,65794,1591285,14080475,16487509,16645630,Homer
144960,238,1342,189.173.107,65794,1201152,5069197,15593454,16225638,Homer
275504,235,2598,189.173.107,66564,1131776,5266805,9999314,15659762,Homer
188442,212,2221,0.156.222,65794,1197568,6121880,16119032,16737573,Homer
250510,163,4241,189.173.107,65794,1197312,1507273,6186893,15398136,Homer
102676,160,1743,0.107.173,65794,1262848,6186896,15724529,16749909,Homer
185760,107,2433,0.107.173,65794,1131520,3180238,15725042,16752217,Homer
97406,155,1416,0.107.173,65794,1722355,14146268,16421974,16711423,Homer
119448,251,2055,0.107.173,65795,2580462,13425633,16580350,16684116,Homer
107120,243,1520,0.107.173,65794,1984746,14014683,16553302,16645630,Homer
156216,251,1731,0.107.173,65794,1656563,14277596,16487510,16645630,Homer
183024,248,1705,0.107.173,65794,1197312,7502490,15658991,16749909,Homer
180596,249,2300,0.107.173,131587,1199615,6715551,16185080,16751447,Homer
282880,253,1805,189.173.107,65797,1855970,7493671,12358091,16185336,Homer
187859,241,1819,0.156.222,65794,1131776,3725751,4937061,16618597,Homer
183456,242,21144,0.107.173,65796,1197568,5661335,15988218,16684373,Homer
113344,243,1373,189.173.107,65794,1131520,5660034,6601206,16053754,Homer
107226,255,1761,0.107.173,65794,1263616,5073036,15199727,16750165,Homer
146730,251,2146,189.173.107,65794,1131776,4609425,11057878,16514302,Homer
132016,251,1825,255.0.0,197380,1001463,12032337,12436690,15921391,Homer
60138,253,4019,0.8.132,460295,868608,6653323,13022585,16185313,Homer
92750,239,1685,0.8.132,131587,877558,7566453,13555942,16085576,Homer
44312,241,733,0.8.132,65794,1001209,9087709,12163921,15855856,Homer
78070,253,1185,0.8.132,131586,804351,5797805,11832663,15002089,Homer
61000,253,2419,0.8.132,131330,738560,4606112,8568184,12899547,Homer
86328,255,1546,0.8.132,65794,870143,4942946,13621735,16354301,Homer
37467,251,455,0.8.132,65794,209656,1957007,8892917,11587566,Homer
76342,249,1330,0.8.132,65794,1459708,5856871,11702108,13554648,Homer
78952,250,1284,255.0.0,66051,1401587,8841620,11242076,14805739,Homer
79328,251,1181,0.8.132,131587,1333222,11706763,12639466,16054265,Homer
60993,248,1249,0.8.132,65794,1525490,10793149,11307351,15659765,Homer
92916,241,2066,0.8.132,65794,2793472,4345179,10079185,15792120,Homer
65762,250,973,0.8.132,65794,1131264,5271738,6512739,11845084,Homer
73688,254,1339,0.8.132,65794,1197056,3822725,8949950,12895956,Homer
49878,254,784,0.8.132,65794,935121,9409726,16250356,16761176,Homer
42075,256,1020,0.8.132,66562,671488,2620820,5597057,14139372,Homer
58725,254,979,0.8.132,65794,1197056,3692425,9022933,13888501,Homer
156732,252,2215,0.8.132,66307,382936,1260978,9600581,15265263,Homer
59660,248,1091,0.8.132,65794,934606,10857655,11242073,15396335,Homer
102220,254,15512,255.0.0,197381,1394422,10256485,11581394,16711423,Homer
129600,247,914,0.8.132,65794,4090070,7900091,12634086,16773277,Homer
120050,255,4865,0.8.132,131331,1258427,10328141,13357775,14998158,Homer
107100,255,1609,0.8.132,65794,145920,6515376,10734562,15725048,Homer
125836,251,1664,0.107.173,65794,1197824,5465746,15724788,16553559,Homer
142457,254,1577,0.8.132,65794,473505,5729169,10399706,16250875,Homer
56200,256,769,0.8.132,65794,211712,4285847,9412535,13227238,Homer
90250,255,941,0.8.132,65794,146176,4154259,10202061,14278633,Homer
85250,243,1471,0.107.173,65794,146176,5663386,13160157,16749908,Homer
141400,246,1734,0.107.173,65794,1263104,5004672,14408416,16749909,Homer
137634,246,1774,255.0.0,65794,1197056,3953799,8104919,14475500,Homer
49344,248,912,255.0.0,65794,146176,196352,7834042,14410224,Lisa
19000,253,520,255.0.0,131587,212223,523515,7038611,11058395,Lisa
38976,254,2719,255.0.0,197379,819444,5270638,12751298,13297380,Lisa
56994,250,2805,255.0.0,131587,343550,3538430,3730470,12094114,Lisa
31030,253,716,255.0.0,65794,277502,392445,5274447,13225181,Lisa
32725,246,597,255.0.0,65794,212223,261887,5855068,10794709,Lisa
39856,247,908,255.0.0,65794,422652,6184035,8166860,14212066,Lisa
218784,241,2810,255.0.0,131331,1076479,13983801,15791612,16248197,Lisa
30400,250,954,255.0.0,66051,489981,8146244,9086410,13883874,Lisa
51975,253,1211,255.0.0,65794,623608,8081479,11384538,16448383,Lisa
38804,255,817,255.0.0,65795,486396,6251890,10721495,14542573,Lisa
51548,253,662,255.0.0,199176,589310,738532,11297902,12570073,Lisa
55332,254,1339,255.0.0,131587,277758,654076,6186566,11384781,Lisa
46460,253,1835,255.0.0,65794,487675,2969206,9348799,14542418,Lisa
23302,249,601,255.0.0,131587,458752,540672,7366241,12111849,Lisa
35948,251,1004,255.0.0,131587,211967,785146,7111084,12240594,Lisa
37556,250,844,255.0.0,131587,211967,392959,6846884,12242909,Lisa
66960,249,1181,255.0.0,65794,161789,6450568,10333109,15885357,Lisa
58077,250,1607,255.0.0,343292,459526,516344,2381177,10988706,Lisa
19305,251,565,255.0.0,131587,157437,5857676,9615809,14409450,Lisa
41184,250,768,255.0.0,65795,211966,261630,6191516,11384769,Lisa
31820,236,748,255.0.0,65794,98559,5618620,6315405,13026255,Lisa
33674,252,995,255.0.0,65794,261630,474874,5264990,10793152,Lisa
16284,246,476,255.0.0,131587,277758,589053,7176097,12633809,Lisa
29887,248,583,0.8.132,131844,671487,3991542,8230079,14805751,Lisa
26019,240,511,255.0.0,131587,671487,5674183,10990817,14804725,Lisa
44247,254,822,255.0.0,65794,884736,5792619,8895211,14805751,Lisa
77671,252,1770,0.8.132,65794,1792994,6575425,11123632,14673643,Lisa
62192,238,772,0.8.132,65794,602656,1021018,1262848,14476785,Lisa
47736,252,1110,255.0.0,65794,320484,1262846,7571869,14213094,Lisa
64064,252,1539,255.0.0,65795,1010681,3766638,10663105,15922937,Lisa
65199,248,665,255.0.0,65794,883968,6381681,9879534,15725565,Lisa
34935,247,652,255.0.0,65794,262144,1262592,5922926,11915249,Lisa
40890,243,638,255.0.0,131587,215267,9739689,15791092,16342787,Maggie
60939,247,747,0.156.222,65794,1200128,10791354,16053495,16737316,Maggie
40092,250,830,0.156.222,65794,2122461,7958642,11582157,16540451,Maggie
41040,252,1332,0.156.222,263173,354797,7828089,12764101,16671523,Maggie
26400,251,556,0.156.222,131587,1132983,7711433,14788068,16278309,Maggie
13482,252,478,0.156.222,328965,868601,980981,11447735,16344104,Maggie
15189,253,791,255.0.0,197123,327679,671739,10856888,16540452,Maggie
25650,254,1140,0.156.222,131587,544430,9335405,11582146,14277340,Maggie
38976,253,699,0.156.222,131587,409086,9357263,16225016,16605988,Maggie
47637,251,647,255.0.0,65794,277503,6024945,8152385,16153420,Maggie
92988,252,999,247.99.16,65795,1275875,10005179,15725043,16409896,Maggie
46750,251,1114,0.156.222,65794,540401,8874601,9354958,16605987,Maggie
50652,255,1210,247.99.16,131588,417017,10529204,13818955,16605987,Maggie
32512,254,747,0.156.222,132870,1061293,1547961,7630983,16343588,Maggie
41405,254,1029,0.156.222,131587,277759,1107941,10333115,16671523,Maggie
35964,255,584,0.156.222,131587,546807,12897493,16343846,16467196,Maggie
12319,254,383,0.156.222,197381,474359,1239789,10132904,16540451,Maggie
9625,251,313,0.156.222,197380,474618,7375259,12698314,16605987,Maggie
13559,252,370,0.156.222,197381,343034,7049887,14343395,16540452,Maggie
24960,253,486,0.156.222,131587,477179,8552336,13028817,16671523,Maggie
45980,251,672,0.8.132,65794,871163,6184032,12567240,13530417,Maggie
17161,252,529,0.8.132,197123,1264889,8613219,10410225,14343659,Maggie
58447,253,823,0.8.132,65795,738560,9156582,13464878,16052980,Maggie
53531,254,1310,255.0.0,131589,808703,7305625,13141847,14018291,Maggie
42558,248,974,0.8.132,131587,2921963,6710899,13924660,15264751,Maggie
9440,243,294,0.8.132,65794,340992,7383283,8474632,10852747,Maggie
125460,252,1202,0.156.222,65794,1197312,4236762,13619156,16671010,Maggie
55120,253,664,0.156.222,65794,1196799,4307670,14077138,16737572,Maggie
42804,243,666,0.156.222,65794,1263104,7369865,13683927,16737316,Maggie
99050,250,909,0.156.222,65794,1197056,7432557,10205621,16737316,Maggie
29555,251,595,255.0.0,267532,2112761,6068372,12894260,13751760,Marge
24768,247,1960,0.66.132,197123,1553432,2291189,4342764,15253913,Marge
35154,247,671,0.66.132,131587,2386404,7829394,12240849,16694653,Marge
38293,247,712,0.66.132,65794,540412,1046521,2061130,16432254,Marge
30400,251,606,255.0.0,527377,671221,3908325,10385620,11823956,Marge
48285,251,824,0.66.132,65794,3304937,9478075,16250874,16427386,Marge
68670,253,1597,255.0.0,66307,457468,3095796,8623272,16302734,Marge
60420,255,1349,0.66.132,66051,1590262,6192796,13094615,16627836,Marge
35960,252,683,0.66.132,65795,1721054,5746890,13751525,16694654,Marge
16470,253,458,0.66.132,197126,412157,7901351,15001580,16694654,Marge
30305,250,573,0.66.132,131587,4209902,6273742,15197680,16628606,Marge
35750,249,1015,0.66.132,65794,3948531,5527394,10140371,16695168,Marge
45240,247,799,0.66.132,65794,4602863,5877700,14869231,16694398,Marge
22776,251,2623,0.66.132,131590,211966,6569701,7647689,16760704,Marge
48600,254,794,0.66.132,466453,2572021,5550774,14935789,16694654,Marge
27136,245,619,0.66.132,65794,682999,5857379,12041161,16368757,Marge
31360,252,589,0.66.132,65794,4538866,4705008,5267065,16498563,Marge
62624,251,770,0.66.132,65794,540926,5998690,12634065,16629118,Marge
67032,248,968,0.8.132,65794,671488,6447716,6578149,16182696,Marge
50048,250,530,0.8.132,65794,868350,7567786,13558515,16773017,Marge
63434,248,770,0.8.132,65794,4624599,8363128,11124945,14936808,Marge
147700,250,1681,255.0.0,65794,4020325,4802037,12964061,14537632,Marge
115248,251,1302,255.0.0,65794,1197312,3049774,10070456,16642208,Marge
87248,253,730,255.0.0,65794,785920,1197056,13732763,16576424,Marge
